id,area,mean,stddev,mode,min,max,perim.,width,height,major,minor,angle,circ.,feret,intden,median,skew,kurt,%area,area_exc,fractal,skelarea,slope,histcum1,histcum2,histcum3,nb1,nb2,nb3,symetrieh,symetriev,symetriehc,symetrievc,convperim,convarea,fcons,thickr,esd,elongation,range,centroids,sr,perimareaexc,feretareaexc,perimferet,perimmajor,circex,cdexc
182,5129,158.42,62.519,242,65,255,799.7,116,216,144.2,45.3,97.3,0.101,237.1,812560,153,0.091,-1.658,2.83,4984,1.227,701,0.323,93,147,220,4,3,0,7.954,8.01,5,5,660,12374,96.415,2.654,80.8111726492485,3.2,190,4.24264068711928,33.1578947368421,11.3318539934015,3.35706174554519,3.37552742616034,5.55555555555556,0.0978606111593221,0.0600962310161253
183,2499,180.65,37.343,133,107,244,288.63,94,48,85.8,37.1,10.5,0.377,95.9,451456,178,0.095,-1.3,0.12,2496,1.126,190,0.146,146,177,214,2,1,0,2.932,2.994,3,3,280,2953,8.096,1.841,56.4076734344998,2.32432432432432,137,1.4142135623731,27.007299270073,5.78462955620877,1.92153784566105,3.01041666666667,3.36046511627907,0.375542211580806,0.0283069258536149
184,799,214.77,21.568,240,169,244,148.65,45,30,44.9,22.7,153.6,0.454,48.8,171601,218,-0.432,-1.068,0.25,797,1.064,105,0.079,196,217,233,1,1,0,2.312,2.406,2,3,146,898,3.675,1.825,508,1.95652173913043,75,-1,29.3333333333333,0.186951066499373,0.0614805520702635,3.04081632653061,3.31111111111111,66.3271349645315,-0.00125470514429109
185,1141,186.287467134093,41.6900816045375,242,97,243,218.693434175952,78,27,67.5707915727048,21.4999156696229,170.70227704847,0.299794747489025,79.4292137692424,212554,193,-0.191007926668458,-1.35306849851371,0,1141,1.10513199820073,126,0.0755345332965768,146,192,225,1,1,1,3.89439088518843,4.11305872042068,4.25669383003492,4.41385331781141,206,1459,4.06515066964286,2.03038289536267,726,3.23809523809524,146,5,28.7671232876712,0.19193689745837,0.0692375109553024,2.77215189873418,3.22058823529412,66.0747874238886,0.00438212094653812
186,1067,193.70946579194,38.2506537043982,241,110,244,244.534054609518,57,68,56.1929816669749,24.1764461313653,127.215014624677,0.224230964801591,71.7843994193724,206688,199,-0.350116789570052,-1.15940521591816,0.0937207122774133,1066,1.13260786992235,123,0.0749193925752666,161,198,229,1,1,1,4.82942830365511,4.97656982193065,4.04263565891473,4.13242894056848,245,1761,4.01962425595238,1.85969577349076,678,2.33333333333333,134,4,28.3582089552239,0.229831144465291,0.0675422138836773,3.40277777777778,4.375,54.2338100198659,0.00375234521575985
187,30751,117.75,65.765,47,39,251,1921.28,162,451,341.8,114.5,100.4,0.105,451.7,3620800,96,0.653,-1.008,0.32,30653,1.226,2498,1.531,60,95,171,4,3,0,5.141,5.158,4,4,1222,45123,122.14,4.346,19576,2.97391304347826,212,-5,31.1320754716981,0.0626692330277624,0.0147457018888853,4.25,5.61695906432749,200.310430807047,-1.63116171337226e-4
188,731,202.19,28.194,170,156,243,151.24,39,53,55.6,16.7,122.9,0.402,63.5,147801,203,-0.008,-1.563,0,731,1.062,47,0.067,173,202,230,2,1,0,3.777,4.021,4,4,180,836,1.11,2.154,30.508000708034,3.29411764705882,87,0,32.183908045977,5.58493674698758,2.36712550865699,2.359375,2.69642857142857,0.402877808828409,0
189,815,228.59,13.148,241,180,245,192.84,52,41,50.4,20.6,32.8,0.275,59.7,186303,233,-1.016,0.325,0.98,807,1.123,168,0.117,219,232,238,2,1,0,3.489,3.583,3,3,181,1053,15.406,1.8,518,2.38095238095238,65,5,20,0.239157372986369,0.0743494423791822,3.21666666666667,3.86,52.0054414655787,0.00619578686493185
190,6470,159.71,54.952,240,78,250,670.21,103,146,137.4,59.9,111.7,0.181,159.2,1033318,152,0.137,-1.453,0.57,6433,1.216,601,0.339,105,151,213,1,2,0,3.189,3.33,3,3,494,9091,84.109,2.336,4118,2.28333333333333,172,-2,31.9767441860465,0.10415047411783,0.0247163065443805,4.21383647798742,4.89051094890511,121.017158925408,-3.10896937665164e-4
191,1733,181.81,39.377,242,115,244,243.71,59,66,72.3,30.5,136.8,0.367,83.5,315076,175,0.141,-1.439,0.06,1732,1.114,139,0.113,144,174,221,3,1,0,3.242,2.983,3,3,246,2158,5.808,2.061,1102,2.32258064516129,129,6,30.2325581395349,0.140877598152425,0.0484988452655889,2.9047619047619,3.38888888888889,88.4754223742686,0.00346420323325635
192,1621,207.33,27.55,239,136,244,350.17,43,72,69,29.9,68.2,0.166,78.7,336089,211,-0.475,-0.879,0.12,1619,1.214,199,0.137,186,210,231,1,1,0,2.716,2.795,3,3,226,2132,14.376,2.227,1030,2.3,108,0,25.9259259259259,0.216182828906733,0.0487955528103768,4.43037974683544,5.07246376811594,58.462511565079,0
193,1728,195.52,41.323,242,113,250,403.91,70,79,57.7,38.1,145.9,0.133,87.7,337862,207,-0.39,-1.367,1.74,1698,1.217,283,0.139,153,205,234,1,1,0,4.079,4.25,4,4,294,3610,18.841,2.146,1100,1.52631578947368,137,5,29.9270072992701,0.237926972909305,0.0518256772673734,4.59090909090909,6.96551724137931,52.5559046876401,0.00294464075382803
194,1728,177.7,40.456,243,109,243,308.53,76,48,67.2,32.7,171.8,0.228,76.7,307067,169,0.231,-1.37,0,1728,1.178,151,0.111,142,168,216,2,1,0,3.02,3.026,3,3,244,2428,12.649,3.636,1100,2.03030303030303,134,-6,29.8507462686567,0.178819444444444,0.0445601851851852,4.01298701298701,4.61194029850746,69.8221492656355,-0.00347222222222222
195,1148,179.07,38.46,154,103,245,173.52,58,46,67.2,21.8,38.6,0.479,69.3,205567,169,0.248,-1.212,0.09,1147,1.083,72,0.079,149,168,215,1,1,0,3.138,3.207,3,3,203,1272,4.558,2.228,730,3.04545454545455,142,5,26.7605633802817,0.151700087183958,0.0601569311246731,2.52173913043478,2.59701492537313,83.800157527151,0.004359197907585
